date,location,IP address,action,interaction,duration,downtime
2021-06-03,"6140 Melissa Harbors
Jonathanshire, RI 32452",221.4.213.230,recommendation,dismiss,63.38,39.68
2021-04-30,"527 Melinda Place
Kelleymouth, CT 60479",88.82.47.171,user logout,click,74.79,87.34
2021-04-14,"0782 Alexandria Alley
Kaitlynborough, IL 87868",38.52.184.153,recommendation,click,0.49,0
2021-06-19,"092 Dave Circles
East Mario, MN 31848",172.78.216.238,account,update details,1.85,0
2021-06-09,"958 Oscar Hollow Suite 763
North Johnshire, KY 45651",216.255.236.204,search results,dorment,95.97,94.46
2021-06-27,"279 Keith Dam Apt. 999
New Scottside, WV 72892",198.124.137.84,product search,click,8.22,3.61
2021-04-06,"82140 Reese Corners Apt. 246
Gonzalezfort, AR 54440",184.231.25.124,hack attempt,brute force password attempt,1.73,0
2021-05-26,"507 Benjamin Haven
Simmonsshire, FL 90075",206.42.152.102,user login,bounce,73.55,66.42
2021-06-22,"8626 Ronnie Course Suite 076
West Davidland, SC 55433",210.61.171.124,forum chat,bounce,79.79,21.04
2021-04-08,"9911 Claire Port Suite 952
Laurenton, AK 12234",86.253.106.17,forum chat,dorment,75.7,81.54
2021-06-01,"7704 Prince Ranch
Mooreburgh, AR 19616",78.244.208.93,business profile view,click,20.52,17.74
2021-05-22,"138 Erica Route
South Lauren, IA 84672",199.13.188.32,forum chat,refresh,66,49.54
2021-06-14,"600 Williams Land Suite 925
Alyssashire, DE 18532",147.79.104.4,purchase,purchase failed,33.94,58.81
2021-06-15,"3173 Robert Ways
Randyport, ID 21022",162.168.235.153,product search,click,11.84,14.25
2021-05-24,"USS Cummings
FPO AE 09356",195.192.14.57,search results,dorment,25.72,27.16
2021-06-18,"2013 Solomon Mission Apt. 074
North Ashleyville, KY 68272",164.77.205.215,user signup,dorment,12.74,16.25
2021-05-01,"902 Moore Rapid Apt. 947
East Andrewville, NV 92604",223.62.234.233,product search,type,63.8,59.79
2021-06-17,"633 Clayton Villages
Pachecoland, TN 59175",178.156.88.46,user login,bounce,8.03,2.29
2021-04-14,"07175 Martin Isle
Cynthiatown, DE 29828",142.242.170.241,purchase,purchase abandoned,42.77,18.99
2021-05-11,"34833 Jade Crest
Williamsberg, AK 28740",210.178.192.162,search results,new search,41.98,87.75
2021-07-06,"4709 Burgess Glen
East Veronica, ME 92594",1.170.46.42,user login,click,92.43,94.78
2021-05-20,"56874 Garcia Light Apt. 295
Lake Stevenfurt, GA 64613",150.233.175.137,user signup,bounce,73.15,33.52
2021-05-05,"73942 Jones Centers
Port Ianberg, AR 51257",38.44.151.18,business profile view,click,8.89,3.6
2021-06-14,"64525 Gillespie Tunnel
Thomasburgh, OH 78667",194.18.153.243,admin logon,dorment,98.77,34.68
2021-04-19,"5336 Freeman Brooks Apt. 664
Dunnmouth, TN 81755",193.240.187.24,purchase,payment failed,48.78,32.63
2021-06-10,"00643 Evan Forge Suite 194
West Marthahaven, AR 77389",158.152.40.146,payment,bounce,20.76,16.42
2021-04-16,"30088 Moore Skyway Suite 498
Fosterfurt, MO 70933",162.242.102.145,unauthorised request,click,61.78,22.44
2021-04-19,"2979 Lisa Plaza Suite 285
Jamesside, KS 89227",165.61.52.33,admin logon,click,10.89,12.09
2021-06-29,"8800 Rebecca Ports
Lake Stacey, MN 85887",160.178.149.79,payment,new payment method added,60.82,23.18
2021-04-18,"230 Taylor Forest
Lake Jenniferbury, MI 84094",168.233.248.117,unauthorised request,password error,10.21,22.34
2021-07-03,"557 Gonzalez Station
Mcphersonbury, ME 79032",99.230.51.204,search results,refresh,41.57,18.43
2021-07-06,"37308 Hamilton Springs Apt. 606
Charleschester, MO 45236",138.79.113.74,payment,payment not accepted,56.29,11.53
2021-04-18,"Unit 0271 Box 1382
DPO AA 20280",202.167.137.2,user logout,bounce,52.43,21.82
2021-04-30,"45721 Bentley Station
East Megan, CO 46221",207.122.127.225,account,reset details,68.24,82.06
2021-05-13,"9185 May Trafficway
Holmeschester, MN 15725",184.148.153.252,admin logon,click,87.88,63.87
2021-06-04,"2904 Ramirez Rapid
Lake Tracy, DC 67645",139.160.120.39,user logout,bounce,57.14,12.1
2021-05-15,"699 Garcia Ford Apt. 381
Bryantview, MN 56718",213.217.221.112,account,reset details,5.35,2.74
2021-05-28,"409 Smith Falls Apt. 087
Lake Wandafurt, MO 16112",148.36.40.222,user login,refresh,11.03,10.61
2021-05-19,"46191 Mann Pine
Rodriguezshire, CO 26823",136.83.145.19,API call,201 request,88.55,42.69
2021-06-12,"2092 Edwards Lane
West Kaylaview, NC 89210",84.43.209.17,forum chat,click,22.16,17.55
2021-05-11,"50949 Thomas Court
North Chad, AZ 76081",202.136.147.178,user logout,refresh,56.25,69.74
2021-06-01,"3151 Compton Extensions
New Andreport, ME 72963",220.155.121.35,user logout,bounce,75.8,87.07
2021-04-18,"64986 Taylor Shores
Stevenbury, AZ 46280",116.93.243.236,API call,201 request,66.05,70.04
2021-06-30,"7712 Gibson Locks Apt. 262
Lake John, NC 84039",45.28.80.19,product search,type,76.02,5.34
2021-06-04,"USNV Simmons
FPO AP 73219",58.142.251.86,admin logon,dorment,61.72,51.81
2021-06-05,"46987 Cannon Turnpike
West Jennifer, KY 70258",130.29.146.31,admin logon,dorment,51.9,86.95
2021-05-21,"69628 Michael Islands Apt. 433
Livingstonfurt, OK 83072",172.72.62.142,payment,new payment method added,24.83,26.86
2021-07-01,"4483 Melissa Isle
South David, MS 88702",12.80.91.245,payment,enter details,73.16,75.21
2021-06-01,"524 Jeffrey Greens
New Debra, KS 18282",102.152.178.62,user login,dorment,94.38,44.68
2021-06-04,"679 Sandra Flat Suite 832
Toddside, WY 81920",214.51.65.2,product search,type,83.78,83.89
2021-06-02,"705 Earl Crossroad Suite 341
Nicoleberg, IN 43260",212.240.131.29,user login,logged in,33.07,0.42
2021-06-04,"5762 Ross Drive Suite 428
Brownmouth, CO 05093",217.245.86.119,search results,scroll,30.77,61.56
2021-07-01,"6096 Hart Trail Apt. 969
Meredithmouth, OR 31847",198.239.157.152,forum chat,dorment,4.44,0.28
2021-06-27,"17338 Rojas Drive Suite 489
South Jasonton, ME 26693",158.49.176.247,user signup,refresh,83.96,20.56
2021-06-05,"54140 David Crossing Suite 578
Martinezton, HI 28633",137.119.28.97,payment,payment not accepted,0.19,0
2021-06-10,"1579 Anderson Fork
Lake Jamesborough, AZ 55914",139.250.106.82,SSH,SSH request denied,18.86,12.75
2021-04-07,"629 Jefferson Orchard Apt. 208
North Samuel, AL 38097",59.97.78.81,user login,refresh,53.4,84.49
2021-04-10,"3523 Cruz Square Apt. 008
East Justin, NC 49672",198.233.33.178,product search,type,15.18,19.22
2021-06-28,"77248 Roger Ridges Suite 808
North Lisa, HI 54278",98.181.180.194,search results,bounce,72.62,64.73
2021-05-14,"149 Charles Village
Kellyfort, ND 39405",175.228.1.12,hack attempt,DDoS attempt,13.38,14.36
2021-05-22,"7018 Amy Springs
West Marieport, DC 47964",196.100.50.39,product search,click,88.65,8.51
2021-04-25,"8984 Jose Garden Suite 664
Port Jason, WA 89346",150.29.157.168,SSH,SSH request denied,68.26,13.53
2021-05-05,"USNV Bird
FPO AP 97511",219.53.76.172,SSH,SSH tunnel requested,1.48,0
2021-04-21,"976 Jeanne Row
West Tiffany, TN 06823",175.94.119.119,unauthorised request,requesting unavailable resources,4.74,1.59
2021-05-13,"17611 Wood Extension
Romanburgh, WA 92870",7.203.99.110,user login,refresh,94.91,29.05
2021-04-20,"61126 Brock Junctions
New Morgan, ND 47603",171.70.123.72,product search,click,84.87,27.68
2021-04-14,"137 Justin Point Suite 786
Deannamouth, NH 93674",56.95.65.211,admin logon,refresh,97.58,70.28
2021-06-09,"5131 Vargas Fall Apt. 623
Port Anna, PA 99919",206.147.164.28,search results,product click,16.27,22.31
2021-06-10,"21311 Adams Grove
Smithfurt, MD 08180",172.108.195.223,SSH,SSH tunnel requested,45.05,38.97
2021-05-29,"4791 Torres Prairie Apt. 491
Lake Donna, KY 68313",53.64.17.160,product search,click,8.11,1.3
2021-05-16,"838 Lindsay Extensions
Port Sethville, NM 66369",181.179.13.208,API call,404 request,57.61,77.44
2021-04-15,"945 Gordon Forge Apt. 158
Lake Kimberly, RI 60958",34.123.28.76,unauthorised request,requesting unavailable resources,37.78,38.01
2021-06-16,"Unit 0999 Box 0280
DPO AE 22260",210.182.54.74,API call,201 request,62.68,25.76
2021-04-11,"2509 Jeremy Ports
Adamsburgh, VA 00576",158.173.86.115,user signup,click,98.32,45.95
2021-04-11,"889 Cory Cove
North Elijah, TX 93661",51.104.79.83,user login,click,59.84,53.97
2021-05-16,"856 Kevin Tunnel
Lake Alyssa, NJ 33515",142.97.141.186,recommendation,refresh,69.01,77.19
2021-04-29,"44136 Michael Cliff
Port Brittanyview, GA 36976",71.187.233.153,payment,new payment method added,96.46,16.32
2021-05-02,"432 Joseph Prairie
Port Taylor, WA 22472",178.104.70.1,user logout,logged out,50.74,17.39
2021-05-16,"845 Craig Prairie
West Rachel, AK 31692",43.34.19.68,user logout,logged out,60.06,11.06
2021-04-28,"51445 Rogers Locks
Lake Stacy, AL 17545",207.49.15.163,search results,click,27.69,22.33
2021-05-03,"401 Scott Knolls
Crosshaven, MS 05837",161.61.167.199,user logout,refresh,40.03,94.78
2021-05-23,"56274 Jason Loop
Hurleymouth, MI 15490",34.28.248.113,forum chat,bounce,43.96,80.83
2021-04-10,"645 Jessica Plains Suite 479
East Jim, SC 91902",104.67.118.180,forum chat,chat message deleted,2.53,0
2021-04-16,"USS Rice
FPO AP 41772",193.47.106.110,user logout,dorment,31.58,21.42
2021-06-01,"4959 Scott Squares
Simmonsfurt, MS 63188",213.194.90.174,purchase,bounce,20.25,27.71
2021-05-26,"6527 Sabrina Viaduct Apt. 924
Tammymouth, MT 12903",48.72.142.27,unauthorised request,password error,95.41,17.56
2021-04-15,"707 Anthony Branch
Webbmouth, MI 13581",159.2.117.227,admin logon,dorment,46.71,48.68
2021-04-20,"894 John Court Apt. 799
Denisehaven, DE 96650",68.223.140.35,SSH,SSH tunnel created,27.61,0.08
2021-06-09,"703 Cynthia Ford Suite 824
Cainbury, OH 55398",93.219.181.59,API call,500 request,53.14,1.94
2021-04-27,"963 Devin Alley Suite 694
East Amyside, LA 19280",206.192.58.71,SSH,SSH tunnel created,79.83,35.83
2021-06-18,"PSC 1600, Box 6461
APO AE 60802",213.2.230.71,account,view settings,80.47,91.67
2021-04-12,"0860 Vasquez Field Apt. 968
Calderonton, AK 67204",93.161.110.171,API call,200 request,83.49,30.15
2021-05-14,"06616 Catherine Unions
Lake Dennisstad, SC 16323",120.157.9.29,forum chat,chat message read,18.84,6.75
2021-04-23,"36894 Steven Parkway
Colemanport, SD 91484",45.182.142.211,unauthorised request,password error,98.01,90.7
2021-06-15,"48242 Wilkins Fall Apt. 701
East James, TX 36293",197.205.189.47,admin logon,logged in,57.77,91.12
2021-04-30,"2458 Nicole Street
Theodoretown, OK 12416",211.112.126.223,product search,type,1.57,0
2021-05-31,"49306 Julian Brook Suite 943
South James, UT 22934",136.213.233.227,SSH,SSH request denied,75.91,43.37
2021-05-26,"37372 Christopher Inlet
Lake Dianashire, GA 85642",165.216.126.50,product search,click,3.12,1.13
2021-05-05,"1867 Charles Village
Tammyside, CA 42113",12.149.189.123,user login,click,24.16,15.48
2021-04-13,"1980 Roach Lodge Apt. 587
Port Nicholasport, RI 79705",223.130.54.69,search results,new search,6.61,2.35
2021-04-29,"8369 John Burgs Suite 791
South Lindachester, CA 79052",134.253.164.179,recommendation,dismiss,0.7,0
2021-05-12,"511 Nash Flats Suite 368
Navarrotown, NY 49705",121.15.16.40,unauthorised request,requesting unavailable resources,26.43,26.96
2021-06-22,"8948 Dana Estates
New Samantha, ME 83239",199.176.74.216,payment,bounce,93.27,72.02
2021-05-20,"2899 Pierce Lodge
Stephanieview, NJ 62973",64.60.200.18,payment,abandon,50.61,29.8
2021-04-29,"60475 Michael Underpass Suite 300
New Elizabeth, DC 99218",210.109.213.115,account,view settings,50.93,39.97
2021-05-17,"86277 Rowe Views Suite 833
Lake Teresa, ID 36222",66.138.179.132,business profile view,click,4.75,0.66
2021-06-10,"216 Smith Hollow
North Jacob, ME 85081",33.114.218.25,unauthorised request,password error,28.76,19.96
2021-05-22,"4852 Peter Camp
Lake Anthonyview, DE 37860",42.82.65.81,payment,bounce,22.87,26.92
2021-06-25,"23584 Norman Loaf
Turnerbury, OR 36457",85.99.65.17,forum chat,bounce,7.34,2.4
2021-04-13,"8891 Steven Wells
Antoniotown, UT 40849",209.162.129.213,user logout,bounce,74.68,28.83
2021-04-13,"0105 Vasquez Summit
Lake Richardfort, UT 79104",93.151.106.178,forum chat,chat message reported,90.12,71.87
2021-06-27,"89630 Frank Summit Suite 520
Jessicahaven, ID 33368",136.33.187.13,account,view settings,15.49,26.17
2021-05-26,"464 Novak Fort
Melaniebury, LA 42529",213.2.8.33,payment,enter details,45.05,52.63
2021-06-18,"246 Tran Cape
Kingland, MI 87880",105.120.129.101,forum chat,user reported,58.49,57.92
2021-05-25,"2933 Bailey Fords
East Charlesberg, WV 41158",192.242.113.6,account,view settings,11.85,14.31
2021-04-22,"0550 Ashley Via Suite 333
West Jason, IL 33677",99.175.233.157,search results,refresh,19.81,6.82
2021-05-18,"133 Jermaine Turnpike Suite 237
South Sarachester, MO 96516",165.121.157.133,payment,new payment method added,96.05,24.97
2021-04-11,"PSC 5346, Box 7229
APO AE 33700",199.236.75.50,product search,click,29.7,24.9
2021-06-11,"602 Gross Rapids Apt. 477
New David, MS 53523",7.60.85.42,API call,200 request,95.51,74.81
2021-06-19,"78897 Melissa Rapids Suite 235
New Ericabury, DC 36535",202.67.197.19,unauthorised request,click,91.97,78.8
2021-07-03,"9053 Richard Rue Suite 803
Hallbury, AR 26998",197.58.254.38,account,reset details,62.63,77
2021-04-08,"1169 Crystal Village Apt. 634
Lake Ryanburgh, MD 94962",77.78.18.180,purchase,purchase failed,3.44,0.33
2021-06-07,"2222 Shirley Field
South Jerry, MD 94648",44.48.131.150,API call,500 request,72.13,18.46
2021-05-14,"10362 Rogers Streets Apt. 678
East Annfurt, DC 67202",141.204.91.29,forum chat,chat message reported,69.92,96.2
2021-04-18,"13183 Kim Highway Apt. 128
North Rachel, ME 19923",157.96.245.104,business profile view,dorment,53.44,65.34
2021-04-07,"816 Adriana Ramp Suite 564
Timothyport, PA 77620",176.127.95.82,admin logon,dorment,60.61,4.92
2021-04-22,"Unit 3184 Box 0398
DPO AE 43328",181.250.106.80,account,update details,59.82,79.27
2021-06-18,"80537 Allison Groves
Hunterborough, MA 85427",54.56.85.125,API call,200 request,73.53,95.98
2021-04-22,"58955 Melinda Locks Suite 302
Port Jessicatown, WA 25930",176.254.65.11,user signup,click,44.95,58.43
2021-05-22,"4672 Kiara Harbor Suite 521
Burnschester, WA 04673",150.185.163.58,admin logon,dorment,94.28,39.3
2021-05-06,"70554 Desiree Passage
New Toddview, MD 78410",152.18.11.90,user signup,dorment,45.02,67.27
2021-06-12,"032 Gwendolyn Turnpike
Schultzberg, NE 78835",141.69.243.250,business profile view,click,51.1,54.38
2021-04-23,"05907 Charles Neck Suite 013
Murrayview, AR 48176",211.121.122.169,unauthorised request,requesting unavailable resources,43.19,5.64
2021-05-01,"29416 Thompson Fords Suite 792
South Travis, OR 52878",197.5.94.105,payment,payment not accepted,80.74,88.29
2021-04-23,"73955 Vanessa Forge
Lake Jaimeton, WA 45718",172.213.179.116,payment,enter details,47.98,43.36
2021-05-17,"Unit 0980 Box 7417
DPO AE 42044",163.149.144.120,recommendation,see more,83.81,4.37
2021-05-06,"33389 Martin Knolls Apt. 246
Joshuaview, NE 33122",193.109.174.210,recommendation,refresh,93.24,15.38
2021-05-02,"186 Freeman Fort Suite 945
Lake Michaelchester, PA 11379",213.112.132.123,forum chat,refresh,54.57,6.2
2021-06-03,"2627 Carol Islands
Nicoletown, TN 84505",212.35.164.193,search results,dorment,47.65,89.68
2021-05-11,"0338 Mosley Knolls
Parrishville, TX 03665",205.217.148.117,user signup,signed up,69.02,58.97
2021-06-11,"5084 Christopher Trail Suite 315
Cindyport, RI 84313",18.183.228.69,purchase,click,37.55,96.51
2021-06-10,"948 Hicks Trace Apt. 049
West Amandatown, ID 30376",74.142.83.143,SSH,SSH tunnel created,13.06,22.49
2021-04-24,"8322 Austin Mountain
West Steven, NE 84597",222.102.7.131,user logout,refresh,31.52,21.77
2021-05-01,"286 Dominguez Spring Apt. 008
Smithfort, MO 87483",27.152.249.174,search results,scroll,91.25,34.97
2021-05-15,"7186 Mcgee Ways
East Kathyport, MI 45038",200.10.58.2,account,reset details,53.2,82.48
2021-05-16,"3187 Timothy Coves
Donaldshire, IL 49232",178.88.230.185,user signup,signed up,70.76,8.77
2021-05-06,"7188 Brian Spurs Suite 673
Josephbury, NM 60056",149.99.50.143,account,update details,42.46,28.1
2021-04-12,"72731 Lawrence Track
East Sheilatown, MI 48223",67.144.87.206,product search,type,66.26,23.79
2021-05-16,"137 John Spring Apt. 468
Port Heatherberg, VA 62314",208.133.213.81,recommendation,click,58.76,4.69
2021-06-27,"858 Phillip Mountains
Johnmouth, VA 56413",21.166.168.110,product search,type,66.02,25.13
2021-04-21,"021 Hicks Trace Apt. 600
North Alyssahaven, AL 63504",199.88.103.133,business profile view,dorment,63.21,25.65
2021-05-26,"Unit 2698 Box 5288
DPO AP 34542",208.224.133.169,purchase,purchase complete,3.3,1.87
2021-05-19,"48658 Xavier Shoals Apt. 935
South Christopher, CO 02485",101.116.50.99,user login,bounce,62.95,32.39
2021-06-01,"Unit 2776 Box 8035
DPO AA 54120",207.168.18.116,SSH,SSH tunnel requested,15.71,12.56
2021-06-06,"7972 Nichole Fall Apt. 531
South Christine, AK 96988",198.181.175.174,admin logon,refresh,91,71.92
2021-05-26,"91480 Gabriel Lights
Clarkmouth, ME 76295",161.2.119.78,user login,refresh,50.92,27.28
2021-04-12,"Unit 3534 Box 8634
DPO AP 27472",56.74.109.162,admin logon,refresh,86.27,35.31
2021-06-16,"144 Patricia Brook Suite 060
Cooperchester, ME 71363",173.81.241.250,unauthorised request,password error,37.73,72.48
2021-04-12,"3309 Rhonda Forest
Port Julie, WV 39102",83.246.223.152,payment,enter details,32.84,82.76
2021-05-09,"38276 Robles Plaza
East Lisa, NJ 44543",211.139.9.199,purchase,payment failed,86.22,77.36
2021-05-14,"3510 Stephanie Drive
North Tamarashire, IA 92516",179.251.22.209,purchase,purchase failed,2.14,0
2021-05-11,"6951 Lori Drive
East Chloe, MO 72084",211.2.248.67,search results,click,74.84,36.73
2021-04-22,"2058 Anthony Track
New Dominiqueborough, MT 68946",177.187.35.226,hack attempt,SQL injection,19.76,9.35
2021-07-02,"PSC 5445, Box 5997
APO AE 45788",195.156.6.147,recommendation,dismiss,63.19,7.91
2021-06-26,"882 Robert Stream
North Daniel, LA 84804",190.145.243.83,hack attempt,DDoS attempt,39.54,84.61
2021-06-23,"17013 Nancy Station
Cindymouth, OR 23732",62.196.55.73,business profile view,refresh,89.39,70.31
2021-05-14,"94974 James Villages Apt. 151
East Whitney, MI 82973",156.91.229.174,forum chat,chat message read,56.27,91.44
2021-05-28,"69800 James Field Suite 729
Timothyhaven, CO 08509",171.133.191.85,SSH,SSH tunnel requested,15.48,7.54
2021-05-01,"013 Douglas Meadow Suite 490
North Gary, IA 12632",156.254.68.35,user signup,dorment,35.94,84.85
2021-05-22,"486 Stephen Mill Apt. 934
New Craigstad, WA 15729",215.93.151.47,business profile view,scroll,16.16,26.39
2021-05-08,"69713 Weaver Courts Suite 053
Shahville, WA 00682",84.5.118.196,user signup,click,33.39,36.96
2021-05-02,"355 Ward Ridges
Lorihaven, NV 48624",212.22.253.189,hack attempt,brute force password attempt,9.86,2.19
2021-05-06,"PSC 0231, Box 6868
APO AP 03045",95.172.190.197,API call,200 request,18.95,26.38
2021-06-22,"69440 Jenny Fork
South Louisfurt, NE 46863",132.241.61.193,payment,new payment method added,34.48,22.79
2021-06-19,"17439 Mejia Squares
Duffyberg, CT 53619",120.79.220.79,unauthorised request,refresh,26.05,17.26
2021-04-13,"Unit 7740 Box 8879
DPO AA 27475",206.121.6.207,account,reset details,28.87,1.55
2021-05-18,"55838 Jonathan Crescent
Dominiqueshire, MD 94055",190.46.89.99,account,update details,75.94,75.96
2021-05-10,"132 Gregory Rue Suite 606
Blakeside, WA 62148",67.43.39.148,admin logon,click,32.66,45.8
2021-06-05,"9388 Miller Pines
Lake Cheryl, ID 95528",133.20.146.176,admin logon,logged in,53.17,67.08
2021-05-08,"5664 Bates Groves Suite 738
West David, NE 74851",39.221.143.23,API call,404 request,81.1,23.27
2021-05-02,"142 Ryan Summit Apt. 226
Shirleybury, OH 68807",77.46.78.191,purchase,purchase abandoned,63.15,80.19
2021-05-03,"PSC 0468, Box 1256
APO AA 06295",85.21.15.97,product search,click,22.39,3.82
2021-06-10,"939 Cohen Corner
Port Maryborough, RI 46067",190.234.188.94,business profile view,refresh,64.9,80.43
2021-04-16,"0352 Stafford Port
Milesfurt, WV 61318",207.43.210.43,user signup,click,93.66,84.56
2021-07-01,"5219 Randolph Green
Wellsstad, NY 90044",75.95.250.218,user login,dorment,44.68,43.75
2021-05-13,"PSC 6634, Box 9105
APO AA 92069",192.11.206.79,hack attempt,phishing,28.05,13.45
2021-05-17,"300 Christopher Views
New Ryan, MO 69713",185.164.94.164,API call,201 request,30.7,58.46
2021-04-18,"0632 Kimberly Spring
South Linda, NM 55935",194.55.187.100,search results,scroll,88.39,98.64
2021-06-04,"8209 Bennett Stream Apt. 225
North Nicholasmouth, TX 66633",174.60.10.166,hack attempt,brute force password attempt,27.64,24.86
2021-05-26,"86732 Michael Curve
Rowefurt, VA 39649",63.107.97.218,unauthorised request,refresh,21.75,7.22
2021-05-01,"014 Brittney Tunnel Apt. 102
Lisaville, AZ 89813",88.222.170.90,payment,abandon,10.12,20.3
2021-06-30,"66033 Tara Passage
Martinborough, CO 80495",214.152.47.43,user signup,refresh,0.98,0
2021-06-20,"20003 Dakota Mountain
Swansonview, WY 35032",154.234.35.158,unauthorised request,user does not have access,94.38,94.33
2021-05-28,"PSC 9651, Box 4991
APO AE 26089",58.24.33.15,business profile view,click,3.97,1.28
2021-05-30,"947 Huynh Crest
Michaelland, WA 85670",76.9.150.115,forum chat,click,49.15,57.36
2021-06-13,"71738 Erica Gateway Suite 905
Martinmouth, NE 17183",203.159.158.107,user logout,logged out,31.18,54.26
2021-05-16,"7751 Julie Prairie Suite 843
Ericaport, DE 20199",198.107.44.90,purchase,purchase abandoned,38.98,13.29
2021-06-18,"91057 Nathan Walks Suite 962
Nicoleside, TX 67574",34.161.198.165,API call,500 request,83.84,90.23
2021-04-10,"45539 Rodgers Well Suite 732
Richardview, WA 14583",167.41.241.156,purchase,purchase failed,56.08,97.05
2021-06-21,"50130 Shelton Forge Suite 391
Rogersfort, MA 51110",71.93.125.249,forum chat,user reported,48.53,81.4
2021-06-24,"73112 Donna Shoals Suite 819
Katietown, MA 33369",222.185.73.70,hack attempt,SQL injection,10.57,19.93
2021-06-18,"USNS Hansen
FPO AP 60749",54.248.46.216,product search,click,72.76,57.74
2021-07-05,"774 Jeffrey Mews
Lake Shelbystad, SD 31497",24.48.224.161,product search,click,23.53,16.77
2021-04-18,"3806 Michael Field Suite 167
Sandersshire, NY 70208",186.216.254.91,product search,click,55.43,64.68
2021-05-16,"9017 Lawrence Station Suite 091
New Amy, RI 43028",206.27.188.74,product search,click,42.77,88.46
2021-07-03,"485 Courtney Roads
New Kevinshire, CA 91331",190.59.201.148,product search,click,50.92,56
2021-06-07,"348 Randall Manors Suite 229
Lake Kelly, MO 80011",208.52.30.247,API call,404 request,56.9,19.64
2021-06-19,"594 Jasmine Common
Cuevastown, RI 02333",64.192.112.83,account,reset details,79.46,95.39
2021-07-01,"7701 Bauer Station
West William, WV 74026",222.131.193.148,recommendation,click,96.03,5.2
2021-04-10,"00917 Smith Causeway Apt. 438
Lake Matthew, LA 03485",210.252.50.152,user signup,click,69.31,39.07
2021-04-30,"595 Jason Walk Suite 831
West Kaitlin, WA 11923",220.136.233.108,SSH,SSH tunnel requested,34.41,24.46
2021-04-15,"7889 Mathew Cape
Harringtonchester, NY 17401",130.244.8.125,recommendation,see more,52.06,83.24
2021-04-28,"25247 Paul Road Apt. 137
North Susanborough, SC 28814",58.65.109.220,API call,500 request,22.29,11.25
